dataset;messsystem;filtercase;datei;cropped_to;cropped_to;Sa;Sal;Sdq;Sdr;Sk;Sku;Smr1;Smr2;Sp;Spk;Sq;Ssk;Str;Sv;Svk;Sxp;Sz;Vmc;Vmp;Vvc;Vvv
WSP00;Nanofocus;vergleich;WSP00_L13_S1.nms;;;0.19944502519416862;5.714308225329584;0.08661332872511228;0.48641165601581715;0.6528016649889816;2.878839483038206;10.307009248497597;90.71182934887294;1.4828490088639361;0.24009803043847142;0.24930063869279998;0.08322734139549716;0.06500362405306424;1.1099474553049415;0.21326311341381432;0.5054067370146141;2.5927964641688774;0.2261925090180273;0.011900284846252773;0.31240912123970593;0.026756675936417954
WSP00;Nanofocus;vergleich;WSP00_L13_S2.nms;;;0.16965883546627195;17.92398124592805;0.07181257205820986;0.3680171352224093;0.541211651429299;3.134148718119274;12.606447919847504;93.40468374075847;1.2808677992649002;0.2307514831376738;0.21123274649806675;0.33911995921114535;0.17185620956168557;1.023038866446287;0.16389754627685824;0.462052763177655;2.303906665711187;0.1872556401783098;0.011097307262194527;0.2754379739460392;0.01895857619854388
WSP00;Nanofocus;vergleich;WSP00_L14_S1.nms;;;0.2122046986690846;18.52118639058405;0.08295950600359335;0.4554050575329205;0.689889829042908;3.094992455593399;11.149343480316153;91.6843471959394;1.5130693114194893;0.282037743773565;0.26548580715148057;0.2716314434094807;0.17012554720273831;1.199744085349785;0.2010389440990659;0.5618365014451862;2.712813396769274;0.23631694086767996;0.013834157599781958;0.33833832157463845;0.02642303258320202
WSP00;Nanofocus;vergleich;WSP00_L14_S2.nms;;;0.15617923883372453;21.09589318397869;0.06937407697459629;0.35258161568749724;0.5063036042058965;3.0652562195503372;11.253244969916313;91.53766269970644;1.369854465934257;0.2040093653541127;0.19607664098560182;0.20431746365291814;0.18700118452266715;1.037018715778209;0.15848212998474803;0.4093787266494134;2.406873181712466;0.176952184622846;0.009845957754169054;0.2515434768059892;0.0195752238354363
WSP00;Nanofocus;vergleich;WSP00_L1_S1.nms;;;0.20327824984939494;5.442905908321249;0.08403711940324404;0.4640470870533431;0.6685296404884596;3.023194441792848;10.438223990608089;91.62942583653505;1.3955279276575927;0.2599487842668604;0.25398455805626424;0.15975866413717763;0.059270897041228794;1.2202390122954578;0.20952623877645193;0.5301727117244929;2.6157669399530503;0.22588491725255289;0.0128998527457147;0.3193194481999028;0.026348337067528035
WSP00;Nanofocus;vergleich;WSP00_L1_S2.nms;;;0.21537711889552386;4.9447823079181585;0.12475048837998474;0.8810706333496565;0.6803712343102897;3.3542973865608356;12.10342735379461;92.15232751050638;1.967360280722522;0.3187713333026259;0.27224804945615166;0.33389325469079784;0.05156544059751089;1.338928861504334;0.23039932318274028;0.5999561505252256;3.3062891422268557;0.23496904754691447;0.01550789383654535;0.3463758059476659;0.02669325238069567
WSP00;Nanofocus;vergleich;WSP00_L44_S1.nms;;;0.20792693223831804;17.766615767481188;0.09328807647936468;0.5480868384603044;0.6682865436032702;3.038925578285911;12.280336206108453;92.77783484743996;1.5713788486955744;0.2879043318234576;0.25924179776053696;0.34908038053526314;0.1529925166875464;1.2714906591694226;0.1765620064181862;0.5711175795897382;2.842869507864997;0.2316268311096169;0.01373434536669936;0.34129664655084097;0.02340106411872052
WSP00;Nanofocus;vergleich;WSP00_L44_S2.nms;;;0.1615795541251633;20.032179511990666;0.07033203384872261;0.3596624213233923;0.5126490244429948;2.9949041973282924;13.123041544842254;92.47227476605494;1.2607088268604605;0.20715180518381862;0.20132400438659917;0.26259063401550076;0.061629374976741765;1.1263230117013274;0.15383175749467104;0.43017789535330536;2.387031838561788;0.17957878162996327;0.009583465782210083;0.26662909835326565;0.019036417748985936
WSP03;Nanofocus;vergleich;WSP03_L13_S1.nms;;;0.3392079864795315;11.347933591443516;0.10568547654130657;0.6664886565543648;0.998064739694847;3.7736746692683867;6.947661222406663;84.98221716632679;1.774136201335724;0.28926587836789575;0.43468510090796436;-0.7143384276888958;0.059450236278185124;2.131806013996936;0.6298503607676887;0.6501806314034168;3.90594221533266;0.3860368711578298;0.015321336032538081;0.4401870922793653;0.06620747656617358
WSP03;Nanofocus;vergleich;WSP03_L13_S2.nms;;;0.47483911918295446;13.39225438760718;0.13787967089902625;1.047141665362572;1.356375738994382;4.162404977286084;6.806366932609193;84.23448646855458;2.3456336924237124;0.3816596480978397;0.613486965667087;-0.8504410861350824;0.06329883919602224;3.4261216465030087;0.9425720237687091;0.8669808868796971;5.771755338926721;0.5375862895764542;0.020234886226958806;0.6030857174871217;0.09711187680138943
WSP03;Nanofocus;vergleich;WSP03_L14_S1.nms;;;0.41841014658202247;18.941868660678004;0.13039394531016954;0.948873228304592;1.153061327905962;5.228451378025211;9.567586593829281;85.01075365948213;3.0342309413666118;0.498885363285473;0.5660541027943756;-0.8503762029684709;0.1100863970799698;3.2951241713133497;0.9141885937732558;0.9100495162409488;6.329355112679961;0.4480505917529817;0.025039829026612438;0.5547092358506276;0.09250759973421706
WSP03;Nanofocus;vergleich;WSP03_L14_S2.nms;;;0.6280467782534295;18.716853219038516;0.1756073559319133;1.6011489325647998;1.7109057950180369;4.435984023075022;8.833230900175408;83.95869008867145;3.7081622979906177;0.8804492980176412;0.8356884239400306;-0.5338332387527968;0.10075658909226291;4.365577075908742;1.2516637179384464;1.398039295615368;8.073739373899361;0.691772897762648;0.04350924585443858;0.8117996567909435;0.1286764286989688
WSP03;Nanofocus;vergleich;WSP03_L1_S1.nms;;;0.21917773378573835;7.220812652697665;0.0891566215081774;0.5068791263279859;0.6888121107146108;4.377144566030029;6.6727418553454605;88.12713349286001;1.2393248207862295;0.17458491029266746;0.2838096535021719;-0.7876963067553039;0.02355455897088847;1.683412766652304;0.43465577030651154;0.4314142915130266;2.9227375874385335;0.242312057400354;0.009343091849868698;0.2952670989583711;0.04270493481691276
WSP03;Nanofocus;vergleich;WSP03_L1_S2.nms;;;0.4567466084550799;17.532865901301307;0.12251875927135976;0.8519817821736719;1.2748828977674054;4.31378039890578;11.21204680105916;86.04715954809747;2.66712443858921;0.5922713612719738;0.6120962055623986;-0.5472984618547176;0.031058904015051708;3.1987855197803867;0.9427394879146658;1.0792502300829916;5.865909958369597;0.4873799941970304;0.028920934203172523;0.6501959196941842;0.09549301173062696
WSP03;Nanofocus;vergleich;WSP03_L40_S1.nms;;;0.39432562312833624;11.120063439004891;0.1237629480927884;0.8680533614052299;1.229558765377043;3.6936509504940687;7.632468948502167;87.62119562753315;1.982001671197749;0.36015184743093254;0.504142567835273;-0.5610818061818666;0.06134163589378782;2.425897525857463;0.6893006924560416;0.8218958609698896;4.407899197055212;0.442586608323948;0.018956896095746734;0.5431519156187844;0.07200715850646568
WSP03;Nanofocus;vergleich;WSP03_L40_S2.nms;;;0.6808173736336195;21.15384092089193;0.18090941509437236;1.6893092746213645;2.009028881998224;4.30755230018595;8.065831048762798;86.32510074960206;3.950144140291431;0.8750522231913931;0.8934278750317847;-0.509923273650923;0.23079250009154023;4.758885189017794;1.2716806359354886;1.4881814644563691;8.709029329309224;0.7481362894384694;0.0432698339984511;0.9033570640284505;0.13168674705383937
WSP00;Keyence;vergleich;WSP00_L13_S1.sdf;WSP00_L13_S1.nms;WSP00_L13_S1.nms;0.6836963375638935;18.20630911513174;0.13216395822872362;1.385141829886205;2.113723997871291;4.769186264812074;10.04218886681721;89.75469241922993;5.039614781689184;1.0179356937772879;0.9011940091969213;-0.1380309093790666;0.5317676097167756;5.079076840658155;1.1205214172398288;1.7350615276409616;10.118691622347338;0.7395320075458177;0.05090906695162379;1.0052339378486692;0.1117807639177849
WSP00;Keyence;vergleich;WSP00_L13_S2.sdf;WSP00_L13_S2.nms;WSP00_L13_S2.nms;0.9083685422823052;22.473642807316637;0.16537080333340867;1.8315672955554252;2.570940395844543;9.228932255578401;10.015760435147445;88.36897326705517;9.919878987215963;1.6954355054257466;1.3074703897890165;-0.4892458193538207;0.8404622240595239;11.235714979059809;2.034663922671259;2.2994070153325312;21.155593966275774;0.918205252698963;0.08469448712392039;1.2297222701404786;0.18377577737303313
WSP00;Keyence;vergleich;WSP00_L14_S1.sdf;WSP00_L14_S1.nms;WSP00_L14_S1.nms;0.6841384607111092;14.926713044792901;0.12726223069958995;1.3221616378422452;2.208738572934225;3.209753742156716;9.441041648226868;89.83343082815593;3.3406982060466373;0.772257678845087;0.8657212417910075;-0.16106312473012094;0.43784451311730926;4.022097086565281;0.9550033259976487;1.6451401452215235;7.362795292611918;0.7678660465777363;0.03916818542709858;1.0251955679061229;0.10540992321070254
WSP00;Keyence;vergleich;WSP00_L14_S2.sdf;WSP00_L14_S2.nms;WSP00_L14_S2.nms;1.0795702166414909;20.259660919784324;0.2156157882373764;2.7565477237539993;3.0728367637318112;7.980393576639145;10.224926121761643;88.49527285808425;10.8294987505278;2.202974090687363;1.5327543402999533;0.05103703625707088;0.6700889777140401;10.562392041463765;2.171430203010025;2.9129893623923975;21.391890791991564;1.097561279770675;0.11068338204292802;1.4829424181888318;0.20332202974109825
WSP00;Keyence;vergleich;WSP00_L1_S1.sdf;WSP00_L1_S1.nms;WSP00_L1_S1.nms;0.6646998544666172;12.929156194011783;0.1362655336774476;1.4395781858319356;2.147979521633801;3.116314159045806;9.533678503737336;89.84189472557122;3.4295379706728317;0.777668689813282;0.839308587252382;-0.09342394474907668;0.48190641337038836;3.51327433009675;0.8793183110008345;1.6132732359718456;6.942812300769582;0.7498748767953305;0.03937259192016205;0.9999221999628988;0.0994757823220368
WSP00;Keyence;vergleich;WSP00_L1_S2.sdf;WSP00_L1_S2.nms;WSP00_L1_S2.nms;0.7107631671856506;22.33638019165939;0.11664874807903527;1.191702773891734;2.16681024342124;6.294968931790717;9.708162556152258;89.41099084667796;6.154822398963665;1.171071550762899;0.9594184745004544;-0.0013107828753262068;0.6435275060694545;5.53785479359734;1.222799127490149;1.76164452156052;11.692677192561005;0.7572265418548498;0.05833947457819089;1.0180728876020286;0.12058301289757413
WSP00;Keyence;vergleich;WSP00_L44_S1.sdf;WSP00_L44_S1.nms;WSP00_L44_S1.nms;0.9189364202769778;18.187755052120245;0.1664168712694296;1.8986775866973504;2.8704105106216007;4.00140179771113;9.469008428986074;89.08155214659604;5.338376272090428;1.1299085486785643;1.189970933569082;-0.33163047076090413;0.692439238665207;6.469005665598792;1.51553205217439;2.205305006530518;11.80738193768922;1.0126212143152329;0.056936928007898645;1.3385829488231584;0.1556895516142321
WSP00;Keyence;vergleich;WSP00_L44_S2.sdf;WSP00_L44_S2.nms;WSP00_L44_S2.nms;0.8948533421527061;17.483954669631455;0.1746574289124943;2.015027341284803;2.6193420550831634;6.135768838333051;10.404367864636837;88.76026547047753;8.442384265634848;1.9022601286545797;1.2256584101351844;0.5548563656389192;0.5667638802865759;6.473888256761313;1.3917112573499633;2.6105749145211625;14.916272522396161;0.9379042196123271;0.09607453038443145;1.2746262790113778;0.1444438160930404
WSP03;Keyence;vergleich;WSP03_L13_S1.sdf;WSP03_L13_S1.nms;WSP03_L13_S1.nms;0.699097567546293;11.600198490656332;0.14303329837406717;1.5336821367807563;2.2922708666922516;2.9452198492738173;9.834804787857264;90.77255951586359;3.341183602445877;0.8727554227574462;0.8760186600490442;0.07618881147238804;0.10826802218004386;3.2439457580900593;0.7821639665461114;1.7764270022561883;6.5851293605359364;0.7909362266875246;0.04376494387401156;1.0768040430668209;0.09494819014017411
WSP03;Keyence;vergleich;WSP03_L13_S2.sdf;WSP03_L13_S2.nms;WSP03_L13_S2.nms;0.7141271902702726;17.336544594789608;0.1271386620557014;1.322683920028922;2.263629234576794;3.406385766288008;9.770648849242775;89.5558265277571;3.7957404420023013;0.8828868884824813;0.9123087863832365;-0.1483145492030574;0.12910378077376297;4.522903462437773;1.048591904326429;1.7571277813783568;8.318643904440075;0.7929090701879034;0.044363366144975866;1.0632301066561214;0.11332664152417252
WSP03;Keyence;vergleich;WSP03_L14_S1.sdf;WSP03_L14_S1.nms;WSP03_L14_S1.nms;0.6639232155115367;10.183349230221031;0.14506453812877126;1.5554946649353196;2.174552714399476;2.9213708960712577;9.775563162595457;90.50602368611871;2.9779840601148724;0.7867870491722511;0.8318405078351394;0.010228973358297621;0.09688597000329241;3.441359746230443;0.7743474912849282;1.6544698648802358;6.419343806345315;0.7519426988456273;0.03953392840963969;1.018704958131684;0.0929738189114118
WSP03;Keyence;vergleich;WSP03_L14_S2.sdf;WSP03_L14_S2.nms;WSP03_L14_S2.nms;0.7089645588749144;17.262254620791946;0.1276262700468031;1.3229157750142218;2.291950932077503;3.1727995345360345;9.12550994669521;89.62874921063758;3.7318446019435836;0.7909993797485515;0.8960094033034051;-0.17578596785034636;0.05207258934075887;3.92797018595965;0.9873937618282015;1.6796086411456734;7.659814787903233;0.7997074002360378;0.04025971474233442;1.0518997292906525;0.10981629708175725
WSP03;Keyence;vergleich;WSP03_L1_S1.sdf;WSP03_L1_S1.nms;WSP03_L1_S1.nms;0.8144756494354691;12.929349521145333;0.15945406992887612;1.771992239054776;2.683444322138753;2.8814661385965503;9.469290995929043;90.53263199100448;3.6082818741853995;0.9479640924344639;1.0177395936357856;0.01087467129197229;0.1373598418636373;3.682197698187742;0.9285535924450808;2.008001323965096;7.290479572373141;0.9282837621634334;0.04800059006239071;1.2437688479822844;0.11244012807824634
WSP03;Keyence;vergleich;WSP03_L1_S2.sdf;WSP03_L1_S2.nms;WSP03_L1_S2.nms;0.6875931000774814;12.807006892155709;0.13259418734181833;1.3911192597653166;2.2510886008610336;2.9405943178095155;9.45246836859961;90.16603122986757;3.1944702434207817;0.7778749179995769;0.8620494141002558;-0.05304102410010658;0.02318079687933016;3.662963992801983;0.8437121480579914;1.6685341833617722;6.8574342362227645;0.7805462514836093;0.039361556260155334;1.043736921358604;0.0993320054769717
WSP03;Keyence;vergleich;WSP03_L40_S1.sdf;WSP03_L40_S1.nms;WSP03_L40_S1.nms;0.6273178098971119;10.450161873807607;0.13748872494367703;1.4497163533623736;2.0529312679852736;2.927408615650869;9.492746444800963;90.26075012584097;3.250793374084735;0.7356121709798115;0.7863900435882664;-0.017337050673214952;0.139289012053754;2.820808720939181;0.7552689724699281;1.5506725612395973;6.071602095023916;0.7108521884002537;0.03721900740581532;0.9547704494621804;0.08923867978881972
WSP03;Keyence;vergleich;WSP03_L40_S2.sdf;WSP03_L40_S2.nms;WSP03_L40_S2.nms;0.7868575810934213;18.46039364359469;0.14248621693681182;1.5226572421274565;2.4842468350404956;3.6326228054909575;9.76716130801593;89.54669845079296;4.838475225439757;1.0284729662112466;1.0113937570471836;-0.1363594900071462;0.13628090735906573;5.08364182501285;1.1704291695838;1.9596830028388914;9.922117050452608;0.8690749229960101;0.05159766669590204;1.1692257523294738;0.1251715142818156
